Country	Rank	Song	Artists	Album	Cover	Link
Denmark	9	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Denmark	10	Chicagenhagen	Benny Jamz, Gilli	KENNY	https://i.scdn.co/image/ab67616d0000b27378887eb1b34af1f18ac51b3c	https://open.spotify.com/track/1z8kbKSGPNRBSbgtkgCUwH
Germany	1	ZEIT, DASS SICH WAS DREHT	$OHO BANI, Herbert Grönemeyer, Ericson	ZEIT, DASS SICH WAS DREHT	https://i.scdn.co/image/ab67616d0000b273822a12155c7808871858d7e0	https://open.spotify.com/track/1NifMX1JqCz9caJowG8dxq
Germany	2	JUNGE BALLER	6PM RECORDS, Ski Aggu, Haaland936, SIRA	JUNGE BALLER	https://i.scdn.co/image/ab67616d0000b27338681a44dc4cf3f81f122d15	https://open.spotify.com/track/29vCE5UzdE8dzcJWbG2CsK
Germany	3	Mittelmeer	Pashanim	2000	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/track/6leQi7NakJQS1vHRtZsroe
Germany	4	Wunder	AYLIVA, Apache 207	Wunder	https://i.scdn.co/image/ab67616d0000b27372f356a0bf4ec66643e39516	https://open.spotify.com/track/16f4ZN6XOfrIO8fJkm28HM
Germany	5	Houdini	Eminem	Houdini	https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a	https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
Germany	6	Panama	GReeeN	Glückskind	https://i.scdn.co/image/ab67616d0000b273ef496a180518f3ace76dd9ef	https://open.spotify.com/track/3qcreqi8RaGqahtJSQDxNI
Germany	7	VEMPA	FOURTY, Bausa	VEMPA	https://i.scdn.co/image/ab67616d0000b2736423f32068faad29d0b50e22	https://open.spotify.com/track/3pPMgoouYtezLiBTEeL9be
Germany	8	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Germany	9	Baddies	Aitch, Luciano	Baddies	https://i.scdn.co/image/ab67616d0000b273eed970c386333e5a954b5d0b	https://open.spotify.com/track/66Bup3CXgRRl8z91EDHUIf
